"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"ocp_prnt_acs_job_cat_13_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 13","Please specify the Building and Grounds Cleaning and Maintenance Occupations Job Title:","37100;37200; 37300","37100=Supervisors of Building and Grounds Cleaning and Maintenance Workers; 37200=Building Cleaning and Pest Control Workers; 37300=Grounds Maintenance Workers","occupation_prnt_acs_job_cat_13_p"
"ocp_prnt_acs_job_cat_14_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 17","Please specify the Personal Care and Service Occupations Job Title:","39100;39200;39300;39400;39500;39600;39700;39900","39100=Supervisors of Personal Care and Service Workers; 39200=Animal Care and Service Workers; 39300=Entertainment Attendants and Related Workers; 39400=Funeral Service Workers; 39500=Personal Appearance Workers; 39600=Baggage Porters, Bellhops, and Concierges; 39700=Tour and Travel Guides; 39900=Other Personal Care and Service Workers","occupation_prnt_acs_job_cat_14_p"
"ocp_prnt_acs_job_cat_15_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 15","Please specify the Sales and Related Occupations Job Title:","41100;41200;41300;41400;41900","41100=Supervisors of Sales Workers; 41200=Retail Sales Workers; 41300=Sales Representatives, Services; 41400=Sales Representatives, Wholesale and Manufacturing; 41900=Other Sales and Related Workers (","occupation_prnt_acs_job_cat_15_p"
"ocp_prnt_acs_job_cat_16_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 19","Please specify the Office and Administrative Support Occupations Job Title:","43100;43200;43300;43400;43500;43600;43900","43100=Supervisors of Office and Administrative Support Workers; 43200=Communications Equipment Operators; 43300=Financial Clerks; 43400=Information and Record Clerks; 43500=Material Recording, Scheduling, Dispatching, and Distributing Workers; 43600=Secretaries and Administrative Assistants; 43900=Other Office and Administrative Support Workers","occupation_prnt_acs_job_cat_16_p"
"ocp_prnt_acs_job_cat_17_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 17","Please specify the Farming, Fishing, and Forestry Occupations Job Title:","45100;45200;45300;45400","45100=Supervisor; 45200=Agricultural Workers; 45300=Fishing and Hunting Workers; 45400=Forest, Conservation, and Logging Workers","occupation_prnt_acs_job_cat_17_p"
"ocp_prnt_acs_job_cat_18_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 13","Please specify the Construction and Extraction Occupations Job Title:","47100;47200;47300;47400;47500","47100=Supervisors of Construction and Extraction Workers; 47200=Construction Trades Workers; 47300=Helpers, Construction Trades; 47400=Other Construction and Related Workers; 47500=Extraction Workers","occupation_prnt_acs_job_cat_18_p"
"ocp_prnt_acs_job_cat_19_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 19","Please specify the Installation, Maintenance, and Repair Occupations Job Title:","49100;49200;49300;49900","49100=Supervisors of Installation, Maintenance, and Repair Workers; 49200=Electrical and Electronic Equipment Mechanics, Installers, and Repairers; 49300=Vehicle and Mobile Equipment Mechanics, Installers, and Repairers; 49900=Other Installation, Maintenance, and Repair Occupations","occupation_prnt_acs_job_cat_19_p"
"ocp_prnt_acs_job_cat_20_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 20","Please specify the Production Occupations Job Title:","51100;51200;51300;51400;51510;51600;51700;51800;51900","51100=Supervisors of Production Workers; 51200=Assemblers and Fabricators; 51300=Food Processing Workers; 51400=Metal Workers and Plastic Workers; 51510=Printing Workers; 51600=Textile, Apparel, and Furnishings Workers; 51700=Woodworkers; 51800=Plant and System Operators; 51900=Other Production Occupations","occupation_prnt_acs_job_cat_20_p"
"ocp_prnt_acs_job_cat_21_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 21","Please specify the Transportation and Material Moving Occupations Job Title:","53100;53200;53300;53400;53500;53600;53700","53100=Supervisors of Transportation and Material Moving Workers; 53200=Air Transportation Workers; 53300=Motor Vehicle Operators; 53400=Rail Transportation Workers; 53500=Water Transportation Workers; 53600=Other Transportation Workers; 53700=Material Moving Workers","occupation_prnt_acs_job_cat_21_p"
"ocp_prnt_acs_job_cat_22_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 22","Please specify the Military Specific Occupations Job Title:","55100; 55200;55300","55100=Military Officer Special and Tactical Operations Leaders; 55200=First-Line Enlisted Military Supervisors; 55300=Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members","occupation_prnt_acs_job_cat_22_p"
"ocp_prnt_acs_job_cat_23_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 23","Please specify the Legal Occupations Job Title:","23100;23200","23100=Lawyers, Judges, and Related Workers; 23200=Legal Support Workers","occupation_prnt_acs_job_cat_23_p"
"ocp_prtnr_p","Integer","","Recommended","","Do you have a partner? / ¿Usted tiene una pareja?","1;2;777","1=Yes / Si; 2= No/No; 777=Refuse to answer / Niego contestar","occupation_prtnr_p"
"ocp_prtnr_work_na_p","Integer","","Recommended","ocp_prtnr_p==1","For whom did your partner work? / ¿Para quién trabajó su pareja?","0;1","0=Not Applicable/Partner has NEVER had a job","occupation_prtnr_work_na_p"
"ocp_prtnr_acs_business_txt_p","String","250","Recommended","ocp_prtnr_p==1 &&  ocp_prtnr_work_na_p(0)!=1","What kind of business or industry is this? / Que tipo de negocio o industria es?","","Describe the business=industry, or individual employer mentioned.","occupation_prtnr_acs_business_txt_p"
"ocp_prtnr_acs_indust_code_p","Integer","","Recommended","ocp_prtnr_p==1 &&  ocp_prtnr_work_na_p(0)!=1","Based on parent's response above","1::13;777;999","1=Agriculture, forestry, fishing, and hunting; 2=Mining, quarrying, and oil and gas extraction; 3=Construction; 4=Manufacturing; 5=Wholesale and retail trade; 6=Transportation and utilities; 7=Information; 8=Financial Activities; 9=Professional and business services; 10=Education and health services; 11=Leisure and hospitality; 12=Other services; 13=Public administration; 777=Refuse to answer; 999=Don't know","occupation_prtnr_acs_indust_code_p"
"ocp_prtnr_acs_ocp_job_txt_p","String","250","Recommended","ocp_prnt_acs_ocp_code_p == 6","ocp_prtnr_acs_ocp_job_txt_p","","","occupation_prtnr_acs_occupation_job_txt_p,occupation_prtnr_acs_ocp_job_txt_p"
"ocp_prtnr_acs_ocp_code_p","Integer","","Recommended","ocp_prtnr_p==1 &&  ocp_prtnr_work_na_p(0)!=1","partner occupation","1::23","1=Management occupations; 2=Business and Financial Operations Occupations; 3=Computer and Mathematical Occupations; 4=Architecture and Engineering Occupations; 5=Life, Physical, and Social Science Occupations; 6=Community and Social Service Occupations; 23=Legal Occupations; 7=Education, Training, and Library Occupations; 8=Arts, Design, Entertainment, Sports, and Media Occupations; 9=Healthcare Practitioners and Technical Occupations; 10=Healthcare Support Occupations; 11=Protective Service Occupations; 12=Food Preparation and Serving Related Occupations; 13=Building and Grounds Cleaning and Maintenance; 14=Personal Care and Service Occupations; 15=Sales and Related Occupations; 16=Office and Administrative Support Occupations; 17=Farming, Fishing, and Forestry Occupations; 18=Construction and Extraction Occupations; 19=Installation, Maintenance, and Repair Occupations; 20=Production Occupations; 21=Transportation and Material Moving Occupations; 22=Military Specific Occupations","occupation_prtnr_acs_occupation_code_p,occupation_prtnr_acs_ocp_code_p"
"ocp_prtnr_acs_job_cat_1_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 1","Please specify the Management Occupations Job Title:","11100; 11200;11300;11900","11100=Top executives (11100); 11200=Advertising, Marketing, Promotions, Public Relations, and Sales Managers (11200); 11300=Operations Specialties Managers (11300); 11900=Other Management Occupations (11900)","occupation_prtnr_acs_job_cat_1_p"
"ocp_prtnr_acs_job_cat_2_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 2","Please specify the Business and Financial Operations Occupations Job Title:","13100;13200","13100=Business Operations Specialists; 13200=Financial Specialists","occupation_prtnr_acs_job_cat_2_p"
"ocp_prtnr_acs_job_cat_3_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 3","Please specify the Computer and Mathematical Occupations Job Title:","15110;15200","15110=Computer Occupations; 15200=Mathematical Science Occupations","occupation_prtnr_acs_job_cat_3_p"
"ocp_prtnr_acs_job_cat_4_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 4","Please specify the Architecture and Engineering Occupations Job Title:","17100;17200;17300","17100=Architects, Surveyors, and Catographers; 17200=Engineers; 17300=Drafters, Engineering Technicians, Except Drafters","occupation_prtnr_acs_job_cat_4_p"
"ocp_prtnr_acs_job_cat_5_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 5","Please specify the Life, Physical, and Social Science  Occupations Job Title:","19100;19200;19300;19400","19100=Life Scientists; 19200=Physical Scientists; 19300=Social Scientists and Related Workers; 19400=Life, Physical, and Social Science Technicians","occupation_prtnr_acs_job_cat_5_p"
"ocp_prtnr_acs_job_cat_6_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 6","Please specify the Social Service Occupations Job Title:","21100;21200","21100=Counselors, Social Workers, and Other Community and Social Service Specialists; 21200=Religious Workers","occupation_prtnr_acs_job_cat_6_p"
"ocp_prtnr_acs_job_cat_7_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 7","Please specify the Education, Training, and Library  Occupations Job Title:","25100;25200;25300;25400;25900","25100=Postsecondary Teachers; 25200=Preschool, Primary, Secondary, and Special Education School Teachers; 25300=Other Teachers and Instructors; 25400=Librarians, Curators, and Archivists; 25900=Other Education, Training, and Library Occupations","occupation_prtnr_acs_job_cat_7_p"
"ocp_prtnr_acs_job_cat_8_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 8","Please specify the Arts, Design, Entertainment, Sports, and Media Occupations Job Title:","27100;27200;27300;27400","27100=Art and Design Workers; 27200=Entertainers and Performers, Sports and Related Workers; 27300=Media and Communication Workers; 27400=Media and Communication Equipment Workers","occupation_prtnr_acs_job_cat_8_p"
"ocp_prtnr_acs_job_cat_9_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 9","Please specify the Healthcare Practitioners and Technical Occupations Job Title:","29100;29200;29900","29100=Health Diagnosing and Treating Practitioners; 29200=Health Technologists and Technicians; 29900=Other Healthcare Practitioners and Technical Occupations","occupation_prtnr_acs_job_cat_9_p"
"ocp_prtnr_acs_job_cat_10_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 10","Please specify the Healthcare Support Occupations Job Title:","31100;31200;31900","31100=Nursing, Psychiatric, and Home Health Aides; 31200=Occupational Therapy and Physical Therapist Assistants and Aides; 31900=Other Healthcare Support Occupations","occupation_prtnr_acs_job_cat_10_p"
"ocp_prtnr_acs_job_cat_11_p","Integer","","Recommended","ocp_prtnr_p==1","Please specify the Protective Service Occupations Job Title:","33100;33200;33300;33900","33100=Supervisors of Protective Service Workers; 33200=Fire Fighting and Prevention Workers; 33300=Law Enforcement Workers; 33900=Other Protective Service Workers (33900)","occupation_prtnr_acs_job_cat_11_p"
"ocp_prtnr_acs_job_cat_12_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 12","Please specify the Food Preparation and Serving Related  Occupations Job Title:","35100;35200;35300;35900","35100=Supervisors of Food Preparation and Serving Workers; 35200=Cooks and Food Preparation Workers; 35300=Food and Beverage Serving Workers (35300); 35900=Other Food Preparation and Serving Related Workers","occupation_prtnr_acs_job_cat_12_p"
"ocp_prtnr_acs_job_cat_13_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 15","Please specify the Building and Grounds Cleaning and Maintenance Occupations Job Title:","37100;37200; 37300","37100=Supervisors of Building and Grounds Cleaning and Maintenance Workers; 37200=Building Cleaning and Pest Control Workers; 37300=Grounds Maintenance Workers","occupation_prtnr_acs_job_cat_13_p"
"ocp_prtnr_acs_job_cat_14_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 14","Please specify the Personal Care and Service Occupations Job Title:","39100;39200;39300;39400;39500;39600;39700;39900","39100=Supervisors of Personal Care and Service Workers; 39200=Animal Care and Service Workers; 39300=Entertainment Attendants and Related Workers; 39400=Funeral Service Workers; 39500=Personal Appearance Workers; 39600=Baggage Porters, Bellhops, and Concierges; 39700=Tour and Travel Guides; 39900=Other Personal Care and Service Workers","occupation_prtnr_acs_job_cat_14_p"
"ocp_prtnr_acs_job_cat_15_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 14","Please specify the Sales and Related Occupations Job Title:","41100;41200;41300;41400;41900","41100=Supervisors of Sales Workers; 41200=Retail Sales Workers; 41300=Sales Representatives, Services; 41400=Sales Representatives, Wholesale and Manufacturing; 41900=Other Sales and Related Workers (","occupation_prtnr_acs_job_cat_15_p"
"ocp_prtnr_acs_job_cat_16_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 16","Please specify the Office and Administrative Support Occupations Job Title:","43100;43200;43300;43400;43500;43600;43900","43100=Supervisors of Office and Administrative Support Workers; 43200=Communications Equipment Operators; 43300=Financial Clerks; 43400=Information and Record Clerks; 43500=Material Recording, Scheduling, Dispatching, and Distributing Workers; 43600=Secretaries and Administrative Assistants; 43900=Other Office and Administrative Support Workers","occupation_prtnr_acs_job_cat_16_p"
"ocp_prtnr_acs_job_cat_17_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 2","Please specify the Farming, Fishing, and Forestry Occupations Job Title:","45100;45200;45300;45400","45100=Supervisor; 45200=Agricultural Workers; 45300=Fishing and Hunting Workers; 45400=Forest, Conservation, and Logging Workers","occupation_prtnr_acs_job_cat_17_p"
"ocp_prtnr_acs_job_cat_18_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 18","Please specify the Construction and Extraction Occupations Job Title:","47100;47200;47300;47400;47500","47100=Supervisors of Construction and Extraction Workers; 47200=Construction Trades Workers; 47300=Helpers, Construction Trades; 47400=Other Construction and Related Workers; 47500=Extraction Workers","occupation_prtnr_acs_job_cat_18_p"
"ocp_prtnr_acs_job_cat_19_p","Integer","","Recommended","ocp_prnt_acs_ocp_code_p == 4","Please specify the Installation, Maintenance, and Repair Occupations Job Title:","49100;49200;49300;49900","49100=Supervisors of Installation, Maintenance, and Repair Workers; 49200=Electrical and Electronic Equipment Mechanics, Installers, and Repairers; 49300=Vehicle and Mobile Equipment Mechanics, Installers, and Repairers; 49900=Other Installation, Maintenance, and Repair Occupations","occupation_prtnr_acs_job_cat_19_p"
"ocp_prtnr_acs_job_cat_20_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 20","Please specify the Production Occupations Job Title:","51100;51200;51300;51400;51510;51600;51700;51800;51900","51100=Supervisors of Production Workers; 51200=Assemblers and Fabricators; 51300=Food Processing Workers; 51400=Metal Workers and Plastic Workers; 51510=Printing Workers; 51600=Textile, Apparel, and Furnishings Workers; 51700=Woodworkers; 51800=Plant and System Operators; 51900=Other Production Occupations","occupation_prtnr_acs_job_cat_20_p"
"ocp_prtnr_acs_job_cat_21_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 21","Please specify the Transportation and Material Moving Occupations Job Title:","53100;53200;53300;53400;53500;53600;53700","53100=Supervisors of Transportation and Material Moving Workers; 53200=Air Transportation Workers; 53300=Motor Vehicle Operators; 53400=Rail Transportation Workers; 53500=Water Transportation Workers; 53600=Other Transportation Workers; 53700=Material Moving Workers","occupation_prtnr_acs_job_cat_21_p"
"ocp_prtnr_acs_job_cat_22_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 22","Please specify the Military Specific Occupations Job Title:","55100; 55200;55300","55100=Military Officer Special and Tactical Operations Leaders; 55200=First-Line Enlisted Military Supervisors; 55300=Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members","occupation_prtnr_acs_job_cat_22_p"
"ocp_prtnr_acs_job_cat_23_p","Integer","","Recommended","ocp_prtnr_acs_ocp_code_p == 23","Please specify the Legal Occupations Job Title:","23100;23200","23100=Lawyers, Judges, and Related Workers; 23200=Legal Support Workers","occupation_prtnr_acs_job_cat_23_p"
