"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"gish_m12_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","He states the wish to be a girl or woman Habla de su deseo de ser una niña o una mujer","1 ; 2 ; 3 ; 4 ; 5 ; 777","1 = Every day Todos los días ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_m13_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","He states that he is a girl or woman Dice que es una niña o una mujer","1 ; 2 ; 3 ; 4 ; 5 ; 777","1 = Every day Todos los días ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_m14_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '1' ||  baseline_year_1_arm_1  demo_sex_v2b   == '3'","He talks about not liking his sexual anatomy (private parts) Dice que no le gusta su anatomía sexual (sus partes privadas)","1 ; 2 ; 3 ; 4 ; 5 ; 0 ; 777","1 = Every day Todos los días ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca; 5 = Never Nunca ; 0 =  Does not talk about his sexual anatomy (private parts) No habla de su  anatomía sexual (sus partes privadas) ; 777 = Decline to answer Prefiero no responder",""
"gish_f1_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","Her favorite playmates are Sus compañeros favoritos de juego son:","1 ; 2 ; 3 ; 4 ; 5 ; 0 ; 777","1 = Always boys Siempre niños ; 2 = Usually boys Por lo general; 3 = Boys and girls equally Niños y niñas por igual ; 4 = Usually girls  Por lo general; 5 = Always girls  Siempre niñas ; 0 = Does not play with other children No juega con otros niños/as ; 777 = Decline to answer Prefiero no responder",""
"gish_f2_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","She plays with girl-type dolls, such as ""Barbie"" Juega con muñecas ""para niñas"", como ""Barbie""","5 ; 4 ; 3 ; 2 ; 1 ; 777","5 = As a favorite toy Como juguete favorito ; 4 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 2 = Rarely Casi nunca ; 1 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_f3_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","She plays with boy-type dolls such as action figures or ""GI-Joe""     Ella juega con muñecos para niños, como figuras de acción o ""GI-Joe"".","1 ; 2 ; 3 ; 4 ; 5 ; 777","1 = As a favorite toy Como juguete favorito ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_f4_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","She experiments with cosmetics (makeup) and jewelry Ella experimenta con cosmeticos (maquillaje) y joyas","5 ; 4 ; 3 ; 2 ; 1 ; 777","5 = As a favorite activity Como actividad favorita ; 4 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 2 = Rarely Casi nunca ; 1 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_f5_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","She imitates female characters seen on TV or in the movies Imita a personajes del sexo femenino que aparecen en televisión o en las películas","5 ; 4 ; 3 ; 2 ; 1 ; 777","5 = As a favorite activity Como actividad favorita ; 4 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 2 = Rarely Casi nunca ; 1 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_f6_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","She imitates male characters seen on TV or in the movies Imita a personajes del sexo masculino que aparecen en televisión o en las películas","1 ; 2 ; 3 ; 4 ; 5 ; 777","1 = As a favorite activity Como actividad favorita ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_f7_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","She plays sports with boys (but not girls) Practica deportes con niños (pero no con niñas)","1 ; 2 ; 3 ; 4 ; 5 ; 777","1 = As a favorite activity Como actividad favorita ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_f8_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","She plays sports with girls (but not boys) Practica deportes con niñas (pero no con niños)","5 ; 4 ; 3 ; 2 ; 1 ; 777","5 = As a favorite activity Como actividad favorita ; 4 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 2 = Rarely Casi nunca ; 1 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_f9_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","In playing ""mother/father"", ""house"", or ""school"" games, she takes the role of Cuando juega a ""la mamá o el papá"", ""la casita"" o ""la escuelita"", asume el papel de:","5 ; 4 ; 3 ; 2 ; 1 ; 0 ; 777","5 = A girl or woman at all times Una niña o mujer; 4 = Usually a girl or woman Una niña o mujer; 3 = Half the time a girl or woman and half the time a boy or man Una niña o mujer la mitad de las veces; 2 = Usually a boy or man Un niño o un hombre; 1 = A boy or man at all times Un niño o un hombre; 0 = Does not play these games No juega estos juegos ; 777 = Decline to answer Prefiero no responder",""
"gish_f10_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","She plays ""girl-type"" games (as compared to ""boy-type"" games Juega juegos ""para niñas"" (en comparación con el tipo de juegos ""para niños"")","5 ; 4 ; 3 ; 2 ; 1 ; 777","5 = As a favorite activity Como actividad favorita ; 4 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 2 = Rarely Casi nunca ; 1 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_f11_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","In dress-up games, she likes to dress up as  Cuando juega a disfrazarse, le gusta vestirse como:","5 ; 4 ; 3 ; 2 ; 1 ; 0 ; 777","5 = A girl or woman at all times Una niña o mujer; 4 = Usually a girl or woman Una niña o mujer; 3 = Half the time a girl or woman and half the time a boy or man Una niña o mujer la mitad de las veces; 2 = Usually a boy or man Un niño o un hombre; 1 = A boy or man at all times Un niño o un hombre; 0 = Does not play these games No juega estos juegos ; 777 = Decline to answer Prefiero no responder",""
"gish_f12_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","She states the wish to be a boy or man Habla de su deseo de ser un niño o un hombre","1 ; 2 ; 3 ; 4 ; 5 ; 777","1 = Every day Todos los días ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_f13_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","She states that she is a boy or man Dice que es un niño o un hombre","1 ; 2 ; 3 ; 4 ; 5 ; 777","1 = Every day Todos los días ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 777 = Decline to answer Prefiero no responder",""
"gish_f14_p","Integer","","Recommended"," baseline_year_1_arm_1  demo_sex_v2b   == '2' ||  baseline_year_1_arm_1  demo_sex_v2b   == '4'","She talks about not liking her sexual anatomy (private parts) Dice que no le gusta su anatomía sexual (sus partes privadas)","1 ; 2 ; 3 ; 4 ; 5 ; 0 ; 777","1 = Every day Todos los días ; 2 = Frequently Frecuentemente ; 3 = Once in a while De vez en cuando ; 4 = Rarely Casi nunca ; 5 = Never Nunca ; 0 =  Does not talk about her sexual anatomy (private parts) No habla de su anatomía sexual (sus partes privadas) ; 777 = Decline to answer Prefiero no responder",""
