"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"socialdev_capq_26","Integer","","Recommended","","Your mom goes to a meeting at school  like a PTA meeting or parent/teacher conference."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_26a","Integer","","Recommended","socialdev_capq_sc==1","How about your dad?"," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_27","Integer","","Recommended","","Your parents tell you that they like it when you help out around the house."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_28","Integer","","Recommended","","You stay out later than you are supposed to and your parents don't know it."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_29","Integer","","Recommended","","Your parents leave the house and don't tell you where they are going."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_30","Integer","","Recommended","","You come home from school more than an hour past the time your parents expect you to be home."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_31","Integer","","Recommended","","The punishment your parents give depends on their mood."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_32","Integer","","Recommended","","You are at home without an adult being with you."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_33","Integer","","Recommended","","Your parents spank you with their hand when you have done something wrong."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_34","Integer","","Recommended","","Your parents ignore you when you are misbehaving."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_35","Integer","","Recommended","","Your parents slap you when you have done something wrong."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_36","Integer","","Recommended","","Your parents take away a privilege or money from you as a punishment."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_37","Integer","","Recommended","","Your parents send you to your room as a punishment."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_38","Integer","","Recommended","","Your parents hit you with a belt  switch  or other object when you have done something wrong."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_39","Integer","","Recommended","","Your parents yell or scream at you when you have done something wrong."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_40","Integer","","Recommended","","Your parents calmly explain to you why your behavior was wrong when you misbehave."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_41","Integer","","Recommended","","Your parents use time out (make you sit or stand in a corner) as a punishment."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
"socialdev_capq_42","Integer","","Recommended","","Your parents give you extra chores as a punishment."," 0 :: 5","0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always",""
