INDEX	COLUMN LABEL	DESCRIPTION	VARIABLE TYPE	CODING SPECIFICATION	MIN	MAX	ABIDE I INDEX	ABIDE I LABEL
28	ADOS_G_CREATIVITY	ADOS-G or ADOS-2 Module 4 Imagination/Creativity Total	Numeric		0	2	NA	NA
29	ADOS_2_SOCAFFECT	ADOS-2 Social Affect Total	Numeric		0	20	25	ADOS_GOTHAM_SOC_AFFECT
30	ADOS_2_RRB	ADOS-2 Restricted and Repetitive Behavior Total	Numeric		0	8	26	ADOS_GOTHAM_SOC_RRB
31	ADOS_2_TOTAL	ADOS-2 Total Score	Numeric		1	25	27	ADOS_GOTHAM_TOTAL
32	ADOS_2_SEVERITY_TOTAL	ADOS-2 Calibrated Severity Total Score	Numeric		1	10	28	ADOS_GOTHAM_SEVERITY
33	SRS_EDITION	Social Responsiveness Scale Edition	Numeric	1=SRS; 2=SRS-2	1	2	NA	NA
34	SRS_VERSION	SRS Version	Numeric	1=child form; 2=adult form	1	2	29	SRS_VERSION
35	SRS_INFORMANT	Who completed the SRS?	Numeric	1=mother; 2=father; 3=both parents; 4=teacher; 5=self; 6=significant other; 7=friend; 8=mother or father; 9=other relative	1	9	NA	NA
36	SRS_TOTAL_RAW	SRS Total Raw Score	Numeric		0	199	30	SRS_RAW_TOTAL
37	SRS_AWARENESS_RAW	SRS Social Awareness Total Raw	Numeric		0	21	31	SRS_AWARENESS
38	SRS_COGNITION_RAW	SRS Social Cognition Total Raw	Numeric		0	32	32	SRS_COGNITION
39	SRS_COMMUNICATION_RAW	SRS Social Communication Total Raw	Numeric		0	55	33	SRS_COMMUNICATION
40	SRS_MOTIVATION_RAW	SRS Social Motivation Total Raw	Numeric		0	32	34	SRS_MOTIVATION
41	SRS_MANNERISMS_RAW	SRS Autistic Mannerisms Total Raw	Numeric		0	36	35	SRS_MANNERISMS
42	SRS_TOTAL_T	SRS Total T Score	Numeric		34	116	NA	NA
43	SRS_AWARENESS_T	SRS Social Awareness Total T	Numeric		30	100	NA	NA
44	SRS_COGNITION_T	SRS Social Cognition T Score	Numeric		36	108	NA	NA
45	SRS_COMMUNICATION_T	SRS Social Communication  T Score	Numeric		36	110	NA	NA
46	SRS_MOTIVATION_T	SRS Social Motivation T Score	Numeric		37	113	NA	NA
47	SRS_MANNERISMS_T	SRS Autistic Mannerisms T Score	Numeric		40	138	NA	NA
48	SCQ_VERSION	Social Communication Questionnaire Version	Numeric	1=lifetime form; 2=current form	1	2	NA	NA
49	SCQ_TOTAL	SCQ Total Raw Score	Numeric		0	34	36	SCQ_TOTAL
50	AQ_TOTAL	Autism Quotient Total Raw Score	Numeric		9	47	37	AQ_TOTAL
51	NONASD_PSYDX_ICD9CODE	International Classification of Diseases 9th Revision Code for Non-ASD Psychiatric Disorders	Numeric				NA	NA
52	NONASD_PSYDX_LABEL	Non-ASD Psychiatric Disorders Label	String				38	COMORBIDITY
53	CURRENT_MED_STATUS	Currently taking medications (within three months from scan)?	Numeric	0=no; 1=yes	0	1	39	CURRENT_MED_STATUS
54	CURRENT_MEDICATION_NAME	Active Ingredient of Current Medications	String				40	MEDICATION_NAME
55	OFF_STIMULANTS_AT_SCAN	Off stimulants 24 hours prior to scan?	Numeric	0=no; 1=yes	0	1	41	OFF_STIMULANTS_AT_SCAN
56	EYE_STATUS_AT_SCAN	Eye Status During Rest Scan	Numeric	1=open; 2=closed	1	2	71	EYE_STATUS_AT_SCAN
57	AGE_AT_MPRAGE	Age at anatomical scan in years if different from rest scan	Numeric				72	AGE_AT_MPRAGE
58	BMI	Body Mass Index	Numeric		12.77	30.23	73	BMI
59	VINELAND_RECEPTIVE_V_SCALED	Vineland Adaptive Behavior Scales 2nd Edition (Vineland-II) Receptive Language V Scaled Score	Numeric		4	18	42	VINELAND_RECEPTIVE_V_SCALED
60	VINELAND_EXPRESSIVE_V_SCALED	Vineland-II Expressive Language V Scaled Score	Numeric		7	21	43	VINELAND_EXPRESSIVE_V_SCALED
61	VINELAND_WRITTEN_V_SCALED	Vineland-II Written Language V Scaled Score	Numeric		8	21	44	VINELAND_WRITTEN_V_SCALED
62	VINELAND_COMMUNICATION_STANDARD	Vineland-II Communication Standard Score	Numeric		32	130	45	VINELAND_COMMUNICATION_STANDARD
63	VINELAND_PERSONAL_V_SCALED	Vineland-II  Personal Daily Living Skills V Scaled Score	Numeric		8	21	46	VINELAND_PERSONAL_V_SCALED
64	VINELAND_DOMESTIC_V_SCALED	Vineland-II Domestic Daily Living Skills V Scaled Score	Numeric		6	19	47	VINELAND_DOMESTIC_V_SCALED
65	VINELAND_COMMUNITY_V_SCALED	Vineland-II Community Daily Living Skills V Scaled Score	Numeric		8	20	48	VINELAND_COMMUNITY_V_SCALED
66	VINELAND_DAILYLIVING_STANDARD	Vineland-II Daily Living Skills Standard Score	Numeric		59	121	49	VINELAND_DAILYLIVING_STANDARD
67	VINELAND_INTERPERSONAL_V_SCALED	Vineland-II Interpersonal Relationships V Scaled Score	Numeric		4	20	50	VINELAND_INTERPERSONAL_V_SCALED
68	VINELAND_PLAY_V_SCALED	Vineland-II Play and Leisure Time V Scaled Score	Numeric		3	19	51	VINELAND_PLAY_V_SCALED
69	VINELAND_COPING_V_SCALED	Vineland-II Coping Skills V Scaled Score	Numeric		7	23	52	VINELAND_COPING_V_SCALED
70	VINELAND_SOCIAL_STANDARD	Vineland-II Socialization Standard Score	Numeric		51	129	53	VINELAND_SOCIAL_STANDARD
71	VINELAND_GROSS_V_SCALED	Vineland-II Gross Motor V Scaled Score	Numeric		8	19	NA	NA
72	VINELAND_FINE_V_SCALED	Vineland-II Fine Motor V Scaled Score	Numeric		9	17	NA	NA
73	VINELAND_MOTOR_STANDARD	Vineland-II Motor Skills Standard Score	Numeric		67	117	NA	NA
74	VINELAND_SUM_SCORES	Sum of Vineland-II Standard Scores (Communication + Daily Living Skills + Socialization + Motor Skills)	Numeric		166	441	54	VINELAND_SUM_SCORES
75	VINELAND_ABC_Standard	Vineland-II Adaptive Behavior Composite Standard Score	Numeric		48	122	55	VINELAND_ABC_Standard
76	VINELAND_INFORMANT	Vineland-II Informant	Numeric	1=parent; 2=self; 3=other	1	2	56	VINELAND_INFORMANT
77	RBSR_6SUBSCALE_STEREOTYPED	Repetitive Behaviors Scale-Revised 6 Subscales Scoring System Stereotyped Behavior Subscale Raw Score	Numeric		0	16	NA	NA
78	RBSR_6SUBSCALE_SELF-INJURIOUS	RBS-R 6 Subscales Self-Injurious Behavior Subscale Raw Score	Numeric		0	16	NA	NA
79	RBSR_6SUBSCALE_COMPULSIVE	RBS-R 6 Subscales Compulsive Behavior Subscale Raw Score	Numeric		0	22	NA	NA
80	RBSR_6SUBSCALE_RITUALISTIC	RBS-R 6 Subscales Ritualistic Behavior Subscale Raw Score	Numeric		0	17	NA	NA
81	RBSR_6SUBSCALE_SAMENESS	RBS-R 6 Subscales Sameness Behavior Subscale Raw Score	Numeric		0	28	NA	NA
82	RBSR_6SUBSCALE_RESTRICTED	RBS-R 6 Subscales Restricted Interests Subscale Raw Score	Numeric		0	12	NA	NA
83	RBSR_6SUBSCALE_TOTAL	RBS-R 6 Subscales Total Raw Score	Numeric		0	97	NA	NA
84	RBSR_5SUBSCALE_STEREOTYPIC	RBS-R 5 Subscales Scoring System Stereotypic Behavior Subscale Raw Score	Numeric		0	21	NA	NA
85	RBSR_5SUBSCALE_SELF-INJURIOUS	RBS-R 5 Subscales Self-Injurious Behavior Subscale Raw Score	Numeric		0	15	NA	NA
86	RBSR_5SUBSCALE_COMPULSIVE	RBS-R 5 Subscales Compulsive Behavior Subscale Raw Score	Numeric		0	18	NA	NA
87	RBSR_5SUBSCALE_RITUALISTIC	RBS-R 5 Subscales Ritualistic/Sameness Behavior Subscale Raw Score	Numeric		0	30	NA	NA
88	RBSR_5SUBSCALE_RESTRICTED	RBS-R 5 Subscales Restricted Interests Subscale Raw Score	Numeric		0	9	NA	NA
89	RBSR_5SUBSCALE_TOTAL	RBS-R 5 Subscales Total Raw Score	Numeric		0	84	NA	NA
90	MASC_EDITION	Multidimensional Anxiety Scale for Children Edition	Numeric	1=MASC; 2=MASC 2	1	1	NA	NA
91	MASC_TOTAL_T	MASC Total T Score	Numeric		31	88	NA	NA
92	MASC_T/R_T	MASC Physical Symptoms Tense/Restless T Score	Numeric		35	84	NA	NA
93	MASC_S/A_T	MASC Physical Symptoms Somatic/Autonomic T Score	Numeric		34	91	NA	NA
94	MASC_PHYSICAL_TOTAL_T	MASC Physical Symptoms Total T Score	Numeric		33	86	NA	NA
95	MASC_PER_T	MASC for Children Harm Avoidance Perfectionism T Score	Numeric		25	67	NA	NA
96	MASC_AC_T	MASC Harm Avoidance Anxious/Coping T Score	Numeric		28	72	NA	NA
97	MASC_HARM_TOTAL_T	MASC Harm Avoidance Total T Score	Numeric		25	72	NA	NA
98	MASC_H/R_T	MASC Social Anxiety Humiliation/Rejection T Score	Numeric		13	81	NA	NA
99	MASC_PP_T	MASC Social Anxiety Performance Fears T Score	Numeric		34	77	NA	NA
100	MASC_SOCIAL_TOTAL_T	MASC Social Anxiety Total T Score	Numeric		32	83	NA	NA
101	MASC_SEP_T	MASC Separation/Panic T Score	Numeric		32	93	NA	NA
102	MASC_ADI_T	MASC Anxiety Disorder Index T Sore	Numeric		25	80	NA	NA
103	MASC_INCONSISTENCY_SCORE	MASC Inconsistency Score	Numeric		0	15	NA	NA
104	BRIEF_VERSION	Behavior Rating Inventory of Executive Function Version	Numeric	1=child form; 2=adult form	1	1	NA	NA
105	BRIEF_INFORMANT	BRIEF Informant	Numeric	1=mother; 2=father; 3=both parents; 4=teacher; 5=self; 6=significant other; 7=friend; 8=mother or father; 9=other relative	1	9	NA	NA
106	BRIEF_INHIBIT_T	BRIEF Inhibit T Score	Numeric		36	97	NA	NA
107	BRIEF_SHIFT_T	BRIEF Shift T Score	Numeric		36	99	NA	NA
108	BRIEF_EMOTIONAL_T	BRIEF Emotional Control T Score	Numeric		36	91	NA	NA
109	BRIEF_BRI_T	BRIEF Behavioral Regulation Index T Score	Numeric		34	99	NA	NA
110	BRIEF_INITIATE_T	BRIEF Initiate T Score	Numeric		35	95	NA	NA
111	BRIEF_WORKING_T	BRIEF Working Memory T Score	Numeric		35	90	NA	NA
112	BRIEF_PLAN_T	BRIEF Plan/Organize T Score	Numeric		33	95	NA	NA
113	BRIEF_ORGANIZATION_T	BRIEF Organization of Materials T Score	Numeric		33	73	NA	NA
114	BRIEF_MONITOR_T	BRIEF  Monitor T Score	Numeric		28	91	NA	NA
115	BRIEF_MI_T	BRIEF Metacognition Index T Score	Numeric		30	92	NA	NA
116	BRIEF_GEC_T	BRIEF Global Executive Composite T Score	Numeric		30	96	NA	NA
117	BRIEF_INCONSISTENCY_SCORE	BRIEF Inconsistency Score	Numeric		0	10	NA	NA
118	BRIEF_NEGATIVITY_SCORE	BRIEF Negativity Score	Numeric		0	9	NA	NA
119	CBCL_6-18_ACTIVITIES_T	Child Behavior Checklist Ages 6-18 Activities T Score	Numeric		25	65	NA	NA
120	CBCL_6-18_SOCIAL_T	CBCL 6-18 Social T Score	Numeric		23	65	NA	NA
121	CBCL_6-18_SCHOOL_T	CBCL 6-18 School T Score	Numeric		25	55	NA	NA
122	CBCL_6-18_TOTAL_COMPETENCE_T	CBCL 6-18 Total Competence T Score	Numeric		26	78	NA	NA
123	CBCL_6-18_ANXIOUS_T	CBCL 6-18 Anxious/Depressed T Score	Numeric		50	87	NA	NA
124	CBCL_6-18_WITHDRAWN_T	CBCL 6-18 Withdrawn/Depressed T Score	Numeric		50	91	NA	NA
125	CBCL_6-18_SOMATIC_COMPAINT_T	CBCL 6-18 Somatic Complaints T Score	Numeric		50	88	NA	NA
126	CBCL_6-18_SOCIAL_PROBLEM_T	CBCL 6-18 Social Problems T Score	Numeric		50	93	NA	NA
127	CBCL_6-18_THOUGHT_T	CBCL 6-18 Thought Problems T Score	Numeric		50	88	NA	NA
128	CBCL_6-18_ATTENTION_T	CBCL 6-18 Attention Problems T Score	Numeric		50	97	NA	NA
129	CBCL_6-18_RULE_T	CBCL 6-18 Rule-Breaking Behavior T Score	Numeric		50	76	NA	NA
130	CBCL_6-18_AGGRESSIVE_T	CBCL 6-18 Aggressive Behavior T Score	Numeric		50	84	NA	NA
131	CBCL_6-18_INTERNAL_T	CBCL 6-18 Internalizing Problems T Score	Numeric		33	87	NA	NA
132	CBCL_6-18_EXTERNAL_T	CBCL 6-18 Externalizing Problems T Score	Numeric		32	77	NA	NA
133	CBCL_6-18_TOTAL_PROBLEM_T	CBCL 6-18 Total Problems T Score	Numeric		24	83	NA	NA
134	CBCL_6-18_AFFECTIVE_T	CBCL 6-18 -Affective Problems T Score	Numeric		50	86	NA	NA
135	CBCL_6-18_ANXIETY_T	CBCL 6-18 Anxiety Problems T Score	Numeric		50	79	NA	NA
136	CBCL_6-18_SOMATIC_PROBLEM_T	CBCL 6-18 Somatic Problems T Score	Numeric		50	87	NA	NA
137	CBCL_6-18_ATTENTION_DEFICIT_T	CBCL 6-18 Attention Deficit/Hyperactivity Problems T Score	Numeric		50	80	NA	NA
138	CBCL_6-18_OPPOSITIONAL_T	CBCL 6-18 Oppositional Defiant Problems T Score	Numeric		50	80	NA	NA
139	CBCL_6-18_CONDUCT_T	CBCL 6-18 Conduct Problems T Score	Numeric		50	77	NA	NA
140	CBCL_6-18_SLUGGISH_T	CBCL 6-18 Sluggish Cognitive Tempo T Score	Numeric		50	80	NA	NA
141	CBCL_6-18_OBSESSIVE_T	CBCL 6-18 Obsessive-Compulsive Problems T Score	Numeric		50	88	NA	NA
142	CBCL_6-18_POST_TRAUMATIC_T	CBCL 6-18 Post-traumatic Stress Problems T Score	Numeric		50	93	NA	NA
143	CBCL_1.5-5_EMOTION_T	CBCL Ages 1.5-5 Emotionally Reactive T Score	Numeric		50	87	NA	NA
144	CBCL_1.5-5_ANXIOUS_T	CBCL 1.5-5 Anxious/Depressed T Score	Numeric		50	83	NA	NA
145	CBCL_1.5-5_SOMANTIC_T	CBCL 1.5-5 Somatic Complaints T Score	Numeric		50	78	NA	NA
146	CBCL_1.5-5_WITHDRAWN_T	CBCL 1.5-5 Withdrawn T Score	Numeric		50	82	NA	NA
147	CBCL_1.5-5_SLEEP_T	CBCL 1.5-5 Sleep Problems T Score	Numeric		50	82	NA	NA
148	CBCL_1.5-5_ATTENTION_PROBLEM_T	CBCL 1.5-5 Attention Problems T Score	Numeric		50	80	NA	NA
149	CBCL_1.5-5_AGGRESSIVE_T	CBCL 1.5-5 Aggressive Behavior T Score	Numeric		50	91	NA	NA
150	CBCL_1.5-5_INTERNAL_T	CBCL 1.5-5 Internalizaing Problems T Score	Numeric		33	80	NA	NA
151	CBCL_1.5-5_EXTERNAL_T	CBCL 1.5-5 Externalizaing Problems T Score	Numeric		28	89	NA	NA
152	CBCL_1.5-5_TOTAL_T	CBCL 1.5-5 Total Problems T Score	Numeric		29	89	NA	NA
153	CBCL_1.5-5_STRESS_T	CBCL 1.5-5 Stress Problems T Score	Numeric		0	0	NA	NA
154	CBCL_1.5-5_AFFECTIVE_T	CBCL 1.5-5 Affective Problems T Score	Numeric		50	84	NA	NA
155	CBCL_1.5-5_ANXIETY_T	CBCL 1.5-5 Anxiety Problems T Score	Numeric		50	84	NA	NA
156	CBCL_1.5-5_PERVASIVE_T	CBCL 1.5-5 Pervasive Developmental Problems T Score	Numeric		50	86	NA	NA
157	CBCL_1.5-5_ATTENTION_DEFICIT_T	CBCL 1.5-5 Attention Deficit/Hyperactivity Problems T Score	Numeric		50	76	NA	NA
158	CBCL_1.5-5_OPPOSITIONAL_T	CBCL 1.5-5 Oppositional Defiant Problems T Score	Numeric		50	80	NA	NA
159	BDI_EDITION	Beck's Depression Inventory Edition	Numeric	1=BDI; 2=BDI-IA; 3=BDI-II	3	3	NA	NA
160	BDI_TOTAL	BDI Total Raw Score	Numeric		0	43	NA	NA
161	WIAT-II-A_WORD_T	Wechsler Individual Achievement Test Second Edition Abbreviated Word Reading Subtest T Score	Numeric		58	159	NA	NA
162	WIAT-II-A_NUMERICAL_T	WIAT-II-A Numerical Operations Subtest T Score	Numeric		52	156	NA	NA
163	WIAT-II-A_SPELLING_T	WIAT-II-A Spelling Subtest T Score	Numeric		62	158	NA	NA
164	WIAT-II-A_TOTAL_COMPOSITE_S	WIAT-II-A Total Composite Standard Score	Numeric		65	154	NA	NA
165	VMI_EDITION	Beery-Buktenica Developmental Test of Visual-Motor Integration Edition	Numeric	1=VMI 5th edition; 2=VMI 6th edition	2	2	NA	NA
166	VMI_VMI_S	VMI Visual-Motor Integration Subtest Standard Score	Numeric		45	114	NA	NA
167	CELF_EDITION	Clinical Evaluation of Language Fundamentals Edition	Numeric	1=CELF 3; 2=CELF 4	2	2	NA	NA
168	CELF_5-8_CORE_S	CELF Ages 5-8 Core Language Standard Score	Numeric		42	118	NA	NA
169	CELF_5-8_RECEPTIVE_S	CELF Ages 5-8  Receptive Language Standard Score	Numeric		42	113	NA	NA
170	CELF_5-8_EXPRESSIVE_S	CELF Ages 5-8 Expressive Language Standard Score	Numeric		29	118	NA	NA
171	CELF_9-21_CORE_S	CELF Ages 9-21 Core Language Standard Score	Numeric		56	127	NA	NA
172	CELF_9-21_RECEPTIVE_S	CELF Ages 9-21 Receptive Language Standard Score	Numeric		60	131	NA	NA
173	CELF_9-21_EXPRESSIVE_S	CELF Ages 9-21 Expressive Language Standard Score	Numeric		55	130	NA	NA
174	BASC2_PRS_VERSION	Behavior Assessment System for Children Second Edition Parent Rating Scales Version	Numeric	1=child (6 to 11 years); 2=adolescent (12 to 21 years)	2	2	NA	NA
175	BASC2_PRS_ANGER_T	BASC-2 Anger Control T Score	Numeric		41	64	NA	NA
176	BASC2_PRS_HYPERACTIVITY_T	BASC-2 Hyperactivity T Score	Numeric		36	74	NA	NA
177	BASC2_PRS_AGGRESSION_T	BASC-2 Aggression T Score	Numeric		37	73	NA	NA
178	BASC2_PRS_CONDUCT_T	BASC-2 Conduct Problems T Score	Numeric		39	67	NA	NA
179	BASC2_PRS_EXTERNAL_T	BASC-2 Externalizing Problems T Score	Numeric		34	85	NA	NA
180	BASC2_PRS_EXTERNAL_MEAN_T	BASC-2 Externalizing Problems Mean T Score	Numeric		27	43	NA	NA
181	BASC2_PRS_ANXIETY_T	BASC-2 Anxiety T Score	Numeric		31	66	NA	NA
182	BASC2_PRS_DEPRESSION_T	BASC-2 Depression T Score	Numeric		38	88	NA	NA
183	BASC2_PRS_SOMATIZATION_T	BASC-2 Somatization T Score	Numeric		38	89	NA	NA
184	BASC2_PRS_INTERNAL_T	BASC-2 Internalizing Problems T Score	Numeric		30	94	NA	NA
185	BASC2_PRS_INTERNAL_MEAN_T	BASC-2 Internalizing Problems Mean T Score	Numeric		35	55.889	NA	NA
186	BASC2_PRS_ATYPICALITY_T	BASC-2 Atypicality T Score	Numeric		41	86	NA	NA
187	BASC2_PRS_WITHDRAWAL_T	BASC-2 Withdrawal T Score	Numeric		36	93	NA	NA
188	BASC2_PRS_ATTENTION_T	BASC-2 Attention Problems T Score	Numeric		35	69	NA	NA
189	BASC2_PRS_BSI_T	BASC-2 Behavioral Systems Index T Score	Numeric		33	104	NA	NA
190	BASC2_PRS_BSI_MEAN_T	BASC-2 Behavioral Systems Index Mean T Score	Numeric		37.333	70.63	NA	NA
191	BASC2_PRS_ADAPTABILITY_T	BASC-2 Adaptability T Score	Numeric		22	65	NA	NA
192	BASC2_PRS_SOCIAL_T	BASC-2 Social Skills T Score	Numeric		22	70	NA	NA
193	BASC2_PRS_LEADERSHIP_T	BASC-2 Leadership T Score	Numeric		28	66	NA	NA
194	BASC2_PRS_ACTIVITIES_T	BASC-2 Activities of Daily Living T Score	Numeric		17	70	NA	NA
195	BASC2_PRS_FUNCTIONAL_T	BASC-2 Functional Communication T Score	Numeric		18	66	NA	NA
196	BASC2_PRS_ADAPTIVE_T	BASC-2 Adaptive Skills T Score	Numeric		17	71	NA	NA
197	BASC2_PRS_ADAPTIVE_MEAN_T	BASC-2 Adaptive Skills Mean T Score	Numeric		43.6	58	NA	NA
198	BASC2_PRS_BULLY_T	BASC-2 Bullying T Score	Numeric		39	65	NA	NA
199	BASC2_PRS_DSD_T	BASC-2 Developmental Social Disorders T Score	Numeric		34	81	NA	NA
200	BASC2_PRS_EMOTIONAL_T	BASC-2 Emotional Self Control T Score	Numeric		38	73	NA	NA
201	BASC2_PRS_EXECUTIVE_T	BASC-2 Executive Functioning T Score	Numeric		34	73	NA	NA
202	BASC2_PRS_NEGATIVE_T	BASC-2 Negative Emotionality T Score	Numeric		33	74	NA	NA
203	BASC2_PRS_RESILIENCY_T	BASC-2 Resiliency T Score	Numeric		21	65	NA	NA
204	CPRS_OPP	Conners Parent Rating Scales Oppositional T Score	Numeric		38	90	NA	NA
205	CPRS_COG-INATT	CPRS Cognitive Problems/Inattention T Score	Numeric		40	90	NA	NA
206	CPRS_HYPERACT	CPRS Hyperactivity T Score	Numeric		39	90	NA	NA
207	CPRS_ANX_SHY	CPRS Anxious Shy T Score	Numeric		38	90	NA	NA
208	CPRS_PERFECT	CPRS Perfectioniam T Score	Numeric		39	90	NA	NA
209	CPRS_SOCIAL_PROB	CPRS Social Problems T Score	Numeric		45	90	NA	NA
210	CPRS_PSYCHO_SOMATIC	CPRS Psychosomatic T Score	Numeric		42	90	NA	NA
211	CPRS_CONN_ADHD	CPRS Conners ADHD Index T Score	Numeric		39	90	NA	NA
212	CPRS_REST_IMPULS	CPRS Conners Global Index: Restless-Impulsive T Score	Numeric		38	90	NA	NA
213	CPRS_EMOT_LABILITY	CPRS Conners Global Index: Emotional Lability T Score	Numeric		39	85	NA	NA
214	CPRS_CONN_GI_TOTAL	CPRS Conners Global Index Total T Score	Numeric		38	90	NA	NA
215	CPRS_DSM_IV_INATT	CPRS DSM-IV: Inattentive T Score	Numeric		40	90	NA	NA
216	CPRS_DSM_IV_HYPER_IMPUL	CPRS DSM-IV: Hyperactive-Impulsive T Score	Numeric		39	90	NA	NA
217	CPRS_DSM_IV_TOTAL	CPRS DSM-IV: Total T Score	Numeric		39	90	NA	NA
218	CPRS_INATT_SYMPTOMS	CPRS Inattentive Symptoms	Numeric		0	9	NA	NA
