Field,LongName,Description,Levels,Units,TermURL,HED
bisbas1_y,,I usually get very tense when I think something unpleasant is going to happen. | 0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true,,,,
bisbas1_y,,I usually get very tense when I think something unpleasant is going to happen. | 0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true,0 = Not true | 1 = Somewhat true | 2 = True | 3 = Very true,,,
bisbas8_y,,I feel excited and full of energy when I get something that I want. | 0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true,,,,
bisbas8_y,,I feel excited and full of energy when I get something that I want. | 0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true,0 = Not true | 1 = Somewhat true | 2 = True | 3 = Very true,,,
bisbas14_y,,I do everything to get the things that I want. | 0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true,,,,
bisbas14_y,,I do everything to get the things that I want. | 0 = Not true; 1 = Somewhat true; 2 = True; 3 = Very true,0 = Not true | 1 = Somewhat true | 2 = True | 3 = Very true,,,
bkfs_salad,,HOW MUCH IN ONE DAY?/¿CUÁNTO EN UN DÍA?,,,,
bkfs_burritoquan,,"Burritos, Quantity in one day",,,,
bkfs_drdisodi,,drdisodi,,,,
sex,,Sex of subject at birth | M = Male; F = Female; O=Other; NR = Not reported,,,,
sex,,Sex of subject at birth | M = Male; F = Female; O=Other; NR = Not reported,M = Male | F = Female | O = Other | NR = Not reported,,,
blood_pressure_test_dia_1,,"Reading #1
DIA (Diastolic)",,,,
blood_pressure_pulse_2,,"Reading #2
BPM (pulse/min)",,,,
bpm_1_y,,I act too young for my age | 0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know,,,,
bpm_1_y,,I act too young for my age | 0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know,0 = Not True | 1 = Somewhat True | 2 = Very True | 777 = Refuse to answer | 999 = Don't know,,,
bpm_8_y,,"I disobey at school. (Interviewer: Please select ""Not True"" when participant is not in school at the time of the assessment.) | 0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know",,,,
bpm_8_y,,"I disobey at school. (Interviewer: Please select ""Not True"" when participant is not in school at the time of the assessment.) | 0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know",0 = Not True | 1 = Somewhat True | 2 = Very True | 777 = Refuse to answer | 999 = Don't know,,,
bpm_14_y,,I am inattentive or easily distracted | 0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know,,,,
bpm_14_y,,I am inattentive or easily distracted | 0 = Not True; 1 = Somewhat True; 2 = Very True; 777 = Refuse to answer; 999 = Don't know,0 = Not True | 1 = Somewhat True | 2 = Very True | 777 = Refuse to answer | 999 = Don't know,,,
bpmt_q2,,Argues a lot. | 0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True,,,,
bpmt_q2,,Argues a lot. | 0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True,0 = Not True (as far as you know) | 1 = Somewhat True | 2 = Very True,,,
bpmt_q10,,Too fearful or anxious. | 0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True,,,,
bpmt_q10,,Too fearful or anxious. | 0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True,0 = Not True (as far as you know) | 1 = Somewhat True | 2 = Very True,,,
bpmt_q17,,"Unhappy, sad, or depressed. | 0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",,,,
bpmt_q17,,"Unhappy, sad, or depressed. | 0 = Not True (as far as you know); 1 = Somewhat True; 2 = Very True",0 = Not True (as far as you know) | 1 = Somewhat True | 2 = Very True,,,
cybb_phenx_harm_often,,How often in the past 12 months? | 1=1 time; 2=2 times; 3=3 times; 4=4-9 times; 5=10-19 times; 6=20-39 times; 7=40-49 times; 8=50+ times,,,,
cybb_phenx_harm_often,,How often in the past 12 months? | 1=1 time; 2=2 times; 3=3 times; 4=4-9 times; 5=10-19 times; 6=20-39 times; 7=40-49 times; 8=50+ times,1 = 1 time | 2 = 2 times | 3 = 3 times | 4 = 4-9 times | 5 = 10-19 times | 6 = 20-39 times | 7 = 40-49 times | 8 = 50+ times,,,
cybb_phenx_harm2_often,,How often in the past 12 months? | 1=1 time; 2=2 times; 3=3 times; 4=4-9 times; 5=10-19 times; 6=20-39 times; 7=40-49 times; 8=50+ times,,,,
cybb_phenx_harm2_often,,How often in the past 12 months? | 1=1 time; 2=2 times; 3=3 times; 4=4-9 times; 5=10-19 times; 6=20-39 times; 7=40-49 times; 8=50+ times,1 = 1 time | 2 = 2 times | 3 = 3 times | 4 = 4-9 times | 5 = 10-19 times | 6 = 20-39 times | 7 = 40-49 times | 8 = 50+ times,,,
cbcl_q26_p,,Doesn't seem to feel guilty after misbehaving No parece sentirse culpable después de portarse mal | 0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months,,,,
cbcl_q26_p,,Doesn't seem to feel guilty after misbehaving No parece sentirse culpable después de portarse mal | 0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months,0 = Not True /No es cierto (que sepa usted) | 1 = Somewhat/Sometimes True  /En cierta manera | 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months,,,
cbcl_q56c_p,,"Nausea, feels sick Náuseas, ganas de vomitar | 0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",,,,
cbcl_q56c_p,,"Nausea, feels sick Náuseas, ganas de vomitar | 0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months",0 = Not True /No es cierto (que sepa usted) | 1 = Somewhat/Sometimes True  /En cierta manera | 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months,,,
cbcl_q82_p,,Steals outside the home Roba fuera de casa | 0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months,,,,
cbcl_q82_p,,Steals outside the home Roba fuera de casa | 0 = Not True /No es cierto (que sepa usted); 1 = Somewhat/Sometimes True  /En cierta manera; 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months,0 = Not True /No es cierto (que sepa usted) | 1 = Somewhat/Sometimes True  /En cierta manera | 2 = Very True/Often True/ Muy cierto o cierto con frecuencia// Below is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months,,,
cbcl_scr_syn_social_nm,,Social CBCL Syndrome Scale (number of missing values),,,,
cbcl_scr_syn_external_t,,External CBCL Syndrome Scale (t-score),,,,
cbcl_scr_dsm5_adhd_m,,ADHD CBCL DSM5 Scale (missing values),,,,
cna_5_p,,"Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Red meats and meat products less than 4 times per week Carnes rojas y productos de carne menos de 4 veces por semana. | 1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo",,,,
cna_5_p,,"Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Red meats and meat products less than 4 times per week Carnes rojas y productos de carne menos de 4 veces por semana. | 1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo",1 = Yes Si | 0 = No No | 999 = Don't Know No Recuerdo,,,
cna_10_p,,"Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Fast food or fried food less than 1 time per week Comida rápida o frita menos de 1 una vez por semana. | 1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo",,,,
cna_10_p,,"Think about what your child eats in a typical week, during this past year since we last saw you.  In a typical week, does your child eat Piense en lo que su niño(a) come durante una semana  típica, durante el último año; desde la última vez que lo vimos.  En una semana típica, su niño(a) come: Fast food or fried food less than 1 time per week Comida rápida o frita menos de 1 una vez por semana. | 1 = Yes Si; 0 = No No; 999 = Don't Know No Recuerdo",1 = Yes Si | 0 = No No | 999 = Don't Know No Recuerdo,,,
su_risk_p_4,,"If your child wanted to get some marijuana, how easy would it be for them to get some? | 0 = Very hard Muy difícil; 1 = Sort of hard Algo difícil; 2 = Sort of easy Algo fácil; 3 = Very easy Muy fácil; 4 = Don't know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.",,,,
su_risk_p_4,,"If your child wanted to get some marijuana, how easy would it be for them to get some? | 0 = Very hard Muy difícil; 1 = Sort of hard Algo difícil; 2 = Sort of easy Algo fácil; 3 = Very easy Muy fácil; 4 = Don't know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.",0 = Very hard Muy difícil | 1 = Sort of hard Algo difícil | 2 = Sort of easy Algo fácil | 3 = Very easy Muy fácil | 4 = Don't know No lo sé,,,
su_risk_p_9,,How many of your friends or family members have a medical marijuana prescription? ¿Cuántos de sus amigos(as) o familiares tienen una receta para marihuana medicinal? | 0 = 0; 8 = 1-3; 9 = 4-6; 10 = 7-9; 11 = 10 or more people 10 o más personas; 999 = Don't know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.,,,,
su_risk_p_9,,How many of your friends or family members have a medical marijuana prescription? ¿Cuántos de sus amigos(as) o familiares tienen una receta para marihuana medicinal? | 0 = 0; 8 = 1-3; 9 = 4-6; 10 = 7-9; 11 = 10 or more people 10 o más personas; 999 = Don't know No lo sé; Now I am going to ask you about how easy it is to get certain substances. /Ahora le voy a preguntar quÃ© tan fÃ¡cil es conseguir ciertas sustancias.,0 = 0 | 8 = 1-3 | 9 = 4-6 | 10 = 7-9 | 11 = 10 or more people 10 o más personas | 999 = Don't know No lo sé,,,
ddtidp_241,,Mean diffusivity within parcellation of sub-adjacent white matter associated with right hemisphere cortical Destrieux ROI superior frontal gyrus,,,,
ddtidp_488,,Average transverse diffusivity within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus,,,,
ddtidp_734,,Average fractional anisotropy within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI intraparietal sulcus and transverse parietal sulci,,,,
ddtidp_1185,,Average transverse diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI superior frontal sulcus,,,,
ddtidp_1394,,Mean diffusivity within parcellation of gray matter-white matter contrast associated with left hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus,,,,
ddtidp_1603,,Average longitudinal diffusivity within parcellation of gray matter-white matter contrast associated with right hemisphere cortical Destrieux ROI middle occipital gyrus,,,,
ddtifp_239,,Mean diffusivity within parcellation of sub-adjacent white matter associated with right hemisphere cortical Destrieux ROI triangular part of the inferior frontal gyrus,,,,
ddtifp_483,,Average transverse diffusivity within parcellation of sub-adjacent white matter associated with left hemisphere cortical Destrieux ROI precuneus,,,,
ddtifp_727,,Average fractional anisotropy within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI superior segment of the circular sulcus of the insula,,,,
ddtifp_1177,,Average transverse diffusivity within parcellation of cortical gray matter associated with right hemisphere cortical Destrieux ROI marginal branch of the cingulate sulcus,,,,
ddtifp_1389,,Mean diffusivity within parcellation of gray matter-white matter contrast associated with left hemisphere cortical Destrieux ROI precuneus,,,,
ddtifp_1600,,Average longitudinal diffusivity within parcellation of gray matter-white matter contrast associated with right hemisphere cortical Destrieux ROI superior frontal gyrus,,,,
abbrev_taskname,,abbrev_taskname,,,,
data_file3_type,,Data file 3 type,,,,
data_file7,,Data file 7,,,,
devhx_ss_8_coc_crack_amt_p,,"Cocaine/Crack?

How many times per day? | In the Developmental History survey, if ""No"" was endorsed for use of a substance, the answer for ""How many times per day?"" was stored as missing. Here we have replaced missing with ""0"".",,,,
devhx_ss_9_alcohol_avg_p,,"Alcohol? Average drinks per week? | In the Developmental History survey, if ""No"" was endorsed for use of a substance, the answer for ""Average drinks per week?"" was stored as missing. Here we have replaced missing with ""0"".",,,,
dmdtifp1_238,,Average fractional anisotropy within ASEG ROI right-amygdala,,,,
dmdtifp1_481,,Average longitudinal diffusivity within parcellation of sub-adjacent white matter associated with cortical ROI left-isthmus cingulate,,,,
dmdtifp1_724,,Mean diffusivity within parcellation of cortical gray matter associated with cortical ROI right-entorhinal,,,,
dmdtifp1_1017,,Mean diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI right-middle temporal,,,,
dmdtifp1_1073,,Average longitudinal diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-transverse temporal,,,,
dmdtifp1_1129,,Average transverse diffusivity within parcellation of gray matter-white matter contrast associated with cortical ROI left-pars orbitalis,,,,
dmri_dti_postqc_nrev,,Number of reviews,,,,
dmri_dti_postqc_qub0warp,,"Residual distortion score (0=no distortion, 1=mild distortion, 2=moderate distortion, 3=severe distortion)",,,,
dmri_rsirnigm_cdk_bstsrh,,restricted normalized isotropic diffusion cortical gray matter Desikan cortical parcellation right hemisphere bankssts,,,,
dmri_rsirniwm_cdx_gscarh,,restricted normalized isotropic diffusion peri-cortical white matter Destrieux cortical parcellation right hemisphere anterior part of the cingulate gyrus and sulcus,,,,
dmri_rsirnigm_cdx_porh,,restricted normalized isotropic diffusion cortical gray matter Destrieux cortical parcellation right hemisphere occipital pole,,,,
dmri_rsirndgm_cdk_cnrh,,restricted normalized directional diffusion cortical gray matter Desikan cortical parcellation right hemisphere cuneus,,,,
dmri_rsirndwm_cdx_gscmprh,,restricted normalized directional diffusion peri-cortical white matter Destrieux cortical parcellation right hemisphere middle-posterior part of the cingulate gyrus and sulcus,,,,
dmri_rsirndgm_cdx_ptrh,,restricted normalized directional diffusion cortical gray matter Destrieux cortical parcellation right hemisphere temporal pole,,,,
dmri_rsirntgm_cdk_cnrh,,restricted normalized total diffusion cortical gray matter Desikan cortical parcellation right hemisphere cuneus,,,,
dmri_rsirntwm_cdx_gscmprh,,restricted normalized total diffusion peri-cortical white matter Destrieux cortical parcellation right hemisphere middle-posterior part of the cingulate gyrus and sulcus,,,,
dmri_rsirntgm_cdx_ptrh,,restricted normalized total diffusion cortical gray matter Destrieux cortical parcellation right hemisphere temporal pole,,,,
dmri_rsihnigm_cdk_cnrh,,hindered normalized isotropic diffusion cortical gray matter Desikan cortical parcellation right hemisphere cuneus,,,,
dmri_rsihniwm_cdx_gscmprh,,hindered normalized isotropic diffusion peri-cortical white matter Destrieux cortical parcellation right hemisphere middle-posterior part of the cingulate gyrus and sulcus,,,,
dmri_rsihnigm_cdx_ptrh,,hindered normalized isotropic diffusion cortical gray matter Destrieux cortical parcellation right hemisphere temporal pole,,,,
dmri_rsihndgm_cdk_cnrh,,hindered normalized directional diffusion cortical gray matter Desikan cortical parcellation right hemisphere cuneus,,,,
dmri_rsihndwm_cdx_gscmprh,,hindered normalized directional diffusion peri-cortical white matter Destrieux cortical parcellation right hemisphere middle-posterior part of the cingulate gyrus and sulcus,,,,
dmri_rsihndgm_cdx_ptrh,,hindered normalized directional diffusion cortical gray matter Destrieux cortical parcellation right hemisphere temporal pole,,,,
dmri_rsihntgm_cdk_cnrh,,hindered normalized total diffusion cortical gray matter Desikan cortical parcellation right hemisphere cuneus,,,,
dmri_rsihntwm_cdx_gscmprh,,hindered normalized total diffusion peri-cortical white matter Destrieux cortical parcellation right hemisphere middle-posterior part of the cingulate gyrus and sulcus,,,,
dmri_rsihntgm_cdx_ptrh,,hindered normalized total diffusion cortical gray matter Destrieux cortical parcellation right hemisphere temporal pole,,,,
dmri_rsifnigm_cdk_cnrh,,free normalized isotropic diffusion cortical gray matter Desikan cortical parcellation right hemisphere cuneus,,,,
dmri_rsifniwm_cdx_gscmprh,,free normalized isotropic diffusion peri-cortical white matter Destrieux cortical parcellation right hemisphere middle-posterior part of the cingulate gyrus and sulcus,,,,
dmri_rsifnigm_cdx_ptrh,,free normalized isotropic diffusion cortical gray matter Destrieux cortical parcellation right hemisphere temporal pole,,,,
dmri_dtivol_fiberat_ilflh,,Fiber tract volume in mm^3 of DTI atlas tract left inferior longitudinal fasiculus,,,,
dmri_dtifawm_cdsn_locrh,,"Average fractional anisotropy, parcellation of sub-adjacent white matter associated with cortical ROI right-lateral occipital",,,,
dmri_dtitdwm_cdsn_pscntelh,,"Average transverse diffusivity, parcellation of sub-adjacent white matter associated with cortical ROI left-post cingulate",,,,
dmri_dtitdgm_cdsn_trvtmlh,,"Average transverse diffusivity, parcellation of cortical gray matter associated with cortical ROI left-transverse temporal",,,,
dmri_dtifagwc_cdsn_meanrh,,"Average fractional anisotropy, parcellation of gray matter-white matter contrast associated with cortical ROI right-hemisphere",,,,
dmri_dtildgwc_cdsn_cdacaterh,,"Average longitudinal diffusivity, parcellation of gray matter-white matter contrast associated with cortical ROI right-caudal anterior cingulate",,,,
eatq_angry_hit_p,,If very angry might hit someone. / Si est__ muy enojado/a podr__a golpear a alguien. | 1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero,,,,
eatq_angry_hit_p,,If very angry might hit someone. / Si est__ muy enojado/a podr__a golpear a alguien. | 1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero,1 = Almost always untrue / Casi siempre falso | 2 = Usually untrue / Por lo general falso | 3 = Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso | 4 = Usually true / Por lo general verdadero | 5 = Almost always true / Casi siempre verdadero,,,
eatq_sea_dive_p,,Wouldn't be afraid to try a risky sport like deep sea diving. / No le dar__a miedo practicar un deporte peligroso | 1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero,,,,
eatq_sea_dive_p,,Wouldn't be afraid to try a risky sport like deep sea diving. / No le dar__a miedo practicar un deporte peligroso | 1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero,1 = Almost always untrue / Casi siempre falso | 2 = Usually untrue / Por lo general falso | 3 = Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso | 4 = Usually true / Por lo general verdadero | 5 = Almost always true / Casi siempre verdadero,,,
eatq_irritated_enjoy_p,,Gets irritated when s/he has to stop doing something s/he is enjoying. / Se irrita cuando tiene que dejar de hacer algo que est__ disfrutando. | 1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero,,,,
eatq_irritated_enjoy_p,,Gets irritated when s/he has to stop doing something s/he is enjoying. / Se irrita cuando tiene que dejar de hacer algo que est__ disfrutando. | 1=Almost always untrue / Casi siempre falso; 2= Usually untrue / Por lo general falso; 3= Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso; 4= Usually true / Por lo general verdadero; 5 =Almost always true / Casi siempre verdadero,1 = Almost always untrue / Casi siempre falso | 2 = Usually untrue / Por lo general falso | 3 = Sometimes true sometimes untrue / Algunas veces verdadero algunas veces falso | 4 = Usually true / Por lo general verdadero | 5 = Almost always true / Casi siempre verdadero,,,
interview_age,,"Age in months at the time of the interview/test/sampling/imaging. | Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",,,,
ehi1b,,Writing | 100 = Always Right; 50 = Usually Right; 0 = Both Equally; -50 = Usually Left; -100 = Always Left,,,,
ehi1b,,Writing | 100 = Always Right; 50 = Usually Right; 0 = Both Equally; -50 = Usually Left; -100 = Always Left,100 = Always Right | 50 = Usually Right | 0 = Both Equally | -50 = Usually Left | -100 = Always Left,,,
ehi4b,,Spoon | 100 = Always Right; 50 = Usually Right; 0 = Both Equally; -50 = Usually Left; -100 = Always Left,,,,
ehi4b,,Spoon | 100 = Always Right; 50 = Usually Right; 0 = Both Equally; -50 = Usually Left; -100 = Always Left,100 = Always Right | 50 = Usually Right | 0 = Both Equally | -50 = Usually Left | -100 = Always Left,,,
fit_ss_30_second_data_existed,,Does 30 second sleep data exist for this day | 0=no; 1=yes,,,,
fit_ss_30_second_data_existed,,Does 30 second sleep data exist for this day | 0=no; 1=yes,0 = no | 1 = yes,,,
fit_ss_day_min_gt_600,,Does this day have >599 minutes of non-sleep wear after all exclusions | 0=no; 1=yes   Must be yes to be included in weekly aggregation.,,,,
fit_ss_day_min_gt_600,,Does this day have >599 minutes of non-sleep wear after all exclusions | 0=no; 1=yes   Must be yes to be included in weekly aggregation.,0 = no | 1 = yes   Must be yes to be included in weekly aggregation.,,,
fit_ss_fitbit_totalsteps,,"Fitbit based number of steps for the day FROM DAILY LEVEL SUMMARY | Small differences in this value compared to ""total step"" variable indicative of HR based exclusions.  Very large differences likely indicative of poor data capture at minute level",,,,
fit_ss_sleepdate,,Date of the night (PM portion of sleep period) of sleep being considered,,,,
fit_ss_first_sleep_minutes,,First Minute that the participant was identified as being asleep | All data is offset by 12 hours so that 00:00= noon;  23:59=11:59A,,,,
fit_ss_first_sleep_minutes,,First Minute that the participant was identified as being asleep | All data is offset by 12 hours so that 00:00= noon;  23:59=11:59A,All data is offset by 12 hours so that 00:00 = noon | 23:59 = 11:59A,,,
fit_ss_light_minutes,,"Total number of Minutes (in 30 second increments) identified as being in ""light"" sleep stage during the sleep window",,,,
fitpo_sedentary_healthy_p,,In your opinion do you think the amount of sedentary behaviors your child engages in is healthy? / En su opiniÃ³n Â¿cree usted que la cantidad de conductas sedentarias en las que su hijo/a participa es saludable? | 1=Yes / Si; 0=No / No,,,,
fitpo_sedentary_healthy_p,,In your opinion do you think the amount of sedentary behaviors your child engages in is healthy? / En su opiniÃ³n Â¿cree usted que la cantidad de conductas sedentarias en las que su hijo/a participa es saludable? | 1=Yes / Si; 0=No / No,1 = Yes / Si | 0 = No / No,,,
fitpo_in_school_p___0,,"Was your child in school? Not Applicable | 1, Yes | 0 No",,,,
fitpo_sick_p___2,,"Was your child sick? Second Week | 1, Yes | 0 No",,,,
fitpo_sendentary_healthy,,"In your opinion, do you think the amount of sedentary behaviors you do is healthy? | 1=Yes; 0=No",,,,
fitpo_sendentary_healthy,,"In your opinion, do you think the amount of sedentary behaviors you do is healthy? | 1=Yes; 0=No",1 = Yes | 0 = No,,,
